energy (keV),flux (keV^-1 cm^-2 s^-1)
129.0,1715928922.3781915
130.0,1715928922.3781915
130.0,1717506576.238291
131.0,1717506576.238291
131.0,1679280029.1926157
132.0,1679280029.1926157
132.0,1656606524.286441
133.0,1656606524.286441
133.0,1657946056.04783
134.0,1657946056.04783
134.0,1621239345.144061
135.0,1621239345.144061
135.0,1599423841.5002851
136.0,1599423841.5002851
136.0,1600579696.2818024
137.0,1600579696.2818024
137.0,1581374087.207143
138.0,1581374087.207143
138.0,1544117463.7395835
139.0,1544117463.7395835
139.0,1544770877.445694
140.0,1544770877.445694
140.0,1526103221.1954925
141.0,1526103221.1954925
141.0,1490891573.3142295
142.0,1490891573.3142295
142.0,1491763006.2229779
143.0,1491763006.2229779
143.0,1473007259.3309665
144.0,1473007259.3309665
144.0,1439454602.326814
145.0,1439454602.326814
145.0,1420083300.8581696
146.0,1420083300.8581696
146.0,1421868278.952394
147.0,1421868278.952394
147.0,1389592134.792904
148.0,1389592134.792904
148.0,1370877124.0321753
149.0,1370877124.0321753
149.0,1372338883.4555562
150.0,1372338883.4555562
150.0,1341494050.443206
151.0,1341494050.443206
151.0,1323180133.8386304
152.0,1323180133.8386304
152.0,1324203283.6309066
153.0,1324203283.6309066
153.0,1308507108.1953478
154.0,1308507108.1953478
154.0,1277347792.6783972
155.0,1277347792.6783972
155.0,1278456839.7856135
156.0,1278456839.7856135
156.0,1262595904.2326612
157.0,1262595904.2326612
157.0,1233223958.1309505
158.0,1233223958.1309505
158.0,1234326626.657664
159.0,1234326626.657664
159.0,1218732405.926261
160.0,1218732405.926261
160.0,1190446262.2325242
161.0,1190446262.2325242
161.0,1174477806.2068908
162.0,1174477806.2068908
162.0,1176275236.9653811
163.0,1176275236.9653811
163.0,1149388792.6913064
164.0,1149388792.6913064
164.0,1133681129.6487677
165.0,1133681129.6487677
165.0,1135170951.6594427
166.0,1135170951.6594427
166.0,1109703110.8342748
167.0,1109703110.8342748
167.0,1094294618.7414515
168.0,1094294618.7414515
168.0,1095909241.1874938
169.0,1095909241.1874938
169.0,1082561195.4786072
170.0,1082561195.4786072
170.0,1056388577.1927142
171.0,1056388577.1927142
171.0,1057990799.8019211
172.0,1057990799.8019211
172.0,1044686441.1349475
173.0,1044686441.1349475
173.0,1019602407.7557447
174.0,1019602407.7557447
174.0,1020966216.0423818
175.0,1020966216.0423818
175.0,1007965904.3728219
176.0,1007965904.3728219
176.0,984239721.6157603
177.0,984239721.6157603
177.0,970683839.0442882
178.0,970683839.0442882
178.0,972515468.7455268
179.0,972515468.7455268
179.0,949893907.5338793
180.0,949893907.5338793
180.0,936713345.1547056
181.0,936713345.1547056
181.0,938604587.7647185
182.0,938604587.7647185
182.0,916575305.6498721
183.0,916575305.6498721
183.0,903699108.6401125
184.0,903699108.6401125
184.0,905412764.4821779
185.0,905412764.4821779
185.0,894223518.8534727
186.0,894223518.8534727
186.0,871832979.5797932
187.0,871832979.5797932
187.0,873596974.7126235
188.0,873596974.7126235
188.0,862448854.8210977
189.0,862448854.8210977
189.0,841112526.6783073
190.0,841112526.6783073
190.0,842729228.4645147
191.0,842729228.4645147
191.0,831518341.2663587
192.0,831518341.2663587
192.0,811392881.2578862
193.0,811392881.2578862
193.0,799857098.3921379
194.0,799857098.3921379
194.0,801909156.5245603
195.0,801909156.5245603
195.0,782467669.0824571
196.0,782467669.0824571
196.0,771220070.5735211
197.0,771220070.5735211
197.0,773366056.7754633
198.0,773366056.7754633
198.0,754646624.6256915
199.0,754646624.6256915
199.0,743582216.1364542
200.0,743582216.1364542
200.0,745408013.5830177
201.0,745408013.5830177
201.0,735855352.3073586
202.0,735855352.3073586
202.0,716783924.3307956
203.0,716783924.3307956
203.0,718437906.770709
204.0,718437906.770709
204.0,708678888.8546784
205.0,708678888.8546784
205.0,690740957.3474298
206.0,690740957.3474298
206.0,691971587.6786333
207.0,691971587.6786333
207.0,682963438.5891063
208.0,682963438.5891063
208.0,665540469.8484178
209.0,665540469.8484178
209.0,655604688.4253083
210.0,655604688.4253083
210.0,657760478.1899636
211.0,657760478.1899636
211.0,641049533.8975948
212.0,641049533.8975948
212.0,631281413.8076131
213.0,631281413.8076131
213.0,633207607.805487
214.0,633207607.805487
214.0,617071811.0959172
215.0,617071811.0959172
215.0,607737303.0775803
216.0,607737303.0775803
216.0,609523166.7465674
217.0,609523166.7465674
217.0,601069624.6027259
218.0,601069624.6027259
218.0,584802367.6513265
219.0,584802367.6513265
219.0,586084490.9765873
220.0,586084490.9765873
220.0,578214313.1050869
221.0,578214313.1050869
221.0,562343950.1818743
222.0,562343950.1818743
222.0,563894130.5438664
223.0,563894130.5438664
223.0,555684200.6689078
224.0,555684200.6689078
224.0,540333047.28673
225.0,540333047.28673
225.0,531873881.1940577
226.0,531873881.1940577
226.0,533717884.7699129
227.0,533717884.7699129
227.0,519322775.8528699
228.0,519322775.8528699
228.0,510885054.9250337
229.0,510885054.9250337
229.0,512455842.3941866
230.0,512455842.3941866
230.0,498756331.5164718
231.0,498756331.5164718
231.0,490520792.34110737
232.0,490520792.34110737
232.0,492179361.5537646
233.0,492179361.5537646
233.0,484954480.3467261
234.0,484954480.3467261
234.0,470778561.4211328
235.0,470778561.4211328
235.0,472460996.98176235
236.0,472460996.98176235
236.0,465139190.9665652
237.0,465139190.9665652
237.0,451403965.41419095
238.0,451403965.41419095
238.0,452911571.7431338
239.0,452911571.7431338
239.0,445776654.5780505
240.0,445776654.5780505
240.0,432752044.61816484
241.0,432752044.61816484
241.0,425169774.3026753
242.0,425169774.3026753
242.0,426766626.3362752
243.0,426766626.3362752
243.0,414371189.5499858
244.0,414371189.5499858
244.0,406960348.74903303
245.0,406960348.74903303
245.0,408663492.10434073
246.0,408663492.10434073
246.0,396581340.1458492
247.0,396581340.1458492
247.0,389054005.38968277
248.0,389054005.38968277
248.0,390679936.20449716
249.0,390679936.20449716
249.0,384382866.2876452
250.0,384382866.2876452
250.0,371871377.2578908
251.0,371871377.2578908
251.0,373370923.8427983
252.0,373370923.8427983
252.0,366719764.1186591
253.0,366719764.1186591
253.0,354912807.3875579
254.0,354912807.3875579
254.0,356442729.85938716
255.0,356442729.85938716
255.0,349771441.5876621
256.0,349771441.5876621
256.0,338438672.84899104
257.0,338438672.84899104
257.0,331496447.11921644
258.0,331496447.11921644
258.0,333100743.215432
259.0,333100743.215432
259.0,322163114.5901085
260.0,322163114.5901085
260.0,315554722.6176197
261.0,315554722.6176197
261.0,317000796.18854237
262.0,317000796.18854237
262.0,306079252.9881662
263.0,306079252.9881662
263.0,299433213.60044676
264.0,299433213.60044676
264.0,300617890.4929254
265.0,300617890.4929254
265.0,294857806.5332289
266.0,294857806.5332289
266.0,283785596.7447883
267.0,283785596.7447883
267.0,284816537.0510627
268.0,284816537.0510627
268.0,279120208.00734735
269.0,279120208.00734735
269.0,268521335.021894
270.0,268521335.021894
270.0,269621625.86395615
271.0,269621625.86395615
271.0,263840741.1484839
272.0,263840741.1484839
272.0,253710681.88692623
273.0,253710681.88692623
273.0,247509021.32603288
274.0,247509021.32603288
274.0,248786841.76624432
275.0,248786841.76624432
275.0,239186846.63014302
276.0,239186846.63014302
276.0,232838036.6470643
277.0,232838036.6470643
277.0,234199837.56058288
278.0,234199837.56058288
278.0,224845949.5313658
279.0,224845949.5313658
279.0,218621802.06606328
280.0,218621802.06606328
280.0,219412516.71484137
281.0,219412516.71484137
281.0,213981586.8851133
282.0,213981586.8851133
282.0,204407939.8179372
283.0,204407939.8179372
283.0,205094344.691586
284.0,205094344.691586
284.0,199585247.90150657
285.0,199585247.90150657
285.0,190564329.81084847
286.0,190564329.81084847
286.0,189551810.7050571
287.0,189551810.7050571
287.0,185752362.81886017
288.0,185752362.81886017
288.0,176839633.64312854
289.0,176839633.64312854
289.0,170813111.0821306
290.0,170813111.0821306
290.0,171424161.6887318
291.0,171424161.6887318
291.0,162519998.288159
292.0,162519998.288159
292.0,157086219.5954083
293.0,157086219.5954083
293.0,156272786.13615397
294.0,156272786.13615397
294.0,149413631.45427755
295.0,149413631.45427755
295.0,143627131.46689698
296.0,143627131.46689698
296.0,143327254.01300108
297.0,143327254.01300108
297.0,138817880.2656542
298.0,138817880.2656542
298.0,129598862.00341108
299.0,129598862.00341108
299.0,130556115.2560036
300.0,130556115.2560036
300.0,123416868.1484026
301.0,123416868.1484026
301.0,116592395.09628378
302.0,116592395.09628378
302.0,117368410.22665183
303.0,117368410.22665183
303.0,110219343.55866393
304.0,110219343.55866393
304.0,101879792.94199479
305.0,101879792.94199479
305.0,94838214.83229582
306.0,94838214.83229582
306.0,95509905.54143864
307.0,95509905.54143864
307.0,88771240.32185926
308.0,88771240.32185926
308.0,80601976.65526488
309.0,80601976.65526488
309.0,83952763.68287316
310.0,83952763.68287316
310.0,77267416.70948106
311.0,77267416.70948106
311.0,68712417.22938234
312.0,68712417.22938234
312.0,57137782.80977361
313.0,57137782.80977361
313.0,64975196.84988877
314.0,64975196.84988877
314.0,53616171.88284178
315.0,53616171.88284178
315.0,47910549.00677032
316.0,47910549.00677032
316.0,37039707.521767154
317.0,37039707.521767154
317.0,34158664.561331585
318.0,34158664.561331585
318.0,21503262.70709475
319.0,21503262.70709475
319.0,7131666.885291054
320.0,7131666.885291054
